"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","214","test_get_all_users","tests.ip","Thu Mar 06 14:21:32 IST 2025","passed","Thu Mar 06 14:21:32 IST 2025","","test_users","",""
"","170","test_get_all_products","tests.api","Thu Mar 06 16:06:18 IST 2025","passed","Thu Mar 06 16:06:18 IST 2025","","test_products","",""
"","356","test_create_user","tests.api","Thu Mar 06 15:37:31 IST 2025","broken","Thu Mar 06 15:37:32 IST 2025","","test_users","",""
"","226","test_delete_product","tests.ip","Thu Mar 06 14:21:32 IST 2025","passed","Thu Mar 06 14:21:32 IST 2025","","test_products","",""
"","1165","test_scratchpad_button_exists","tests.ui","Thu Mar 06 16:06:34 IST 2025","passed","Thu Mar 06 16:06:36 IST 2025","","test_login","",""
"","131","test_create_cart","tests.ip","Thu Mar 06 14:21:31 IST 2025","passed","Thu Mar 06 14:21:31 IST 2025","","test_carts","",""
"","212","test_delete_user","tests.api","Thu Mar 06 16:06:19 IST 2025","passed","Thu Mar 06 16:06:19 IST 2025","","test_users","",""
"","217","test_failed_login","tests.api","Thu Mar 06 16:06:17 IST 2025","passed","Thu Mar 06 16:06:17 IST 2025","","test_auth","",""
"","1174","test_trash_button_exists","tests.ui","Thu Mar 06 16:06:25 IST 2025","passed","Thu Mar 06 16:06:26 IST 2025","","test_login","",""
"","1417","test_refresh_button","tests.ui","Thu Mar 06 16:06:51 IST 2025","passed","Thu Mar 06 16:06:52 IST 2025","","test_login","",""
"","326","test_get_all_products","tests.api","Thu Mar 06 15:14:04 IST 2025","passed","Thu Mar 06 15:14:04 IST 2025","","test_auth","",""
"","357","test_create_user_short_password","tests.api","Thu Mar 06 15:43:54 IST 2025","failed","Thu Mar 06 15:43:54 IST 2025","","test_users","",""
"","107","test_get_single_product","tests.api","Thu Mar 06 16:06:18 IST 2025","passed","Thu Mar 06 16:06:18 IST 2025","","test_products","",""
"","359","test_get_all_carts","tests.ip","Thu Mar 06 14:21:31 IST 2025","passed","Thu Mar 06 14:21:31 IST 2025","","test_carts","",""
"","0","test_get_all_products","tests.api","Thu Mar 06 15:05:49 IST 2025","broken","Thu Mar 06 15:05:49 IST 2025","","test_carts","",""
"","2424","test_notes_button_exists","tests","Thu Mar 06 12:40:40 IST 2025","passed","Thu Mar 06 12:40:43 IST 2025","","test_login","",""
"","217","test_delete_cart","tests.api","Thu Mar 06 16:06:17 IST 2025","passed","Thu Mar 06 16:06:18 IST 2025","","test_carts","",""
"","1464","test_settings_icon_exists","tests.ui","Thu Mar 06 16:06:48 IST 2025","passed","Thu Mar 06 16:06:49 IST 2025","","test_login","",""
"","222","test_delete_user","tests.ip","Thu Mar 06 14:21:33 IST 2025","passed","Thu Mar 06 14:21:33 IST 2025","","test_users","",""
"","2954","test_favorites_button_exists","tests","Thu Mar 06 12:40:35 IST 2025","passed","Thu Mar 06 12:40:38 IST 2025","","test_login","",""
"","1370","test_open_app","tests.ui","Thu Mar 06 16:06:22 IST 2025","passed","Thu Mar 06 16:06:23 IST 2025","","test_login","",""
"","217","test_get_nonexistent_user","tests.ip","Thu Mar 06 14:21:33 IST 2025","failed","Thu Mar 06 14:21:33 IST 2025","","test_users","",""
"","1265","test_favorites_button_exists","tests.ui","Thu Mar 06 16:06:28 IST 2025","passed","Thu Mar 06 16:06:29 IST 2025","","test_login","",""
"","107","test_update_cart","tests.api","Thu Mar 06 16:06:17 IST 2025","passed","Thu Mar 06 16:06:17 IST 2025","","test_carts","",""
"","110","test_create_product","tests.api","Thu Mar 06 16:06:18 IST 2025","passed","Thu Mar 06 16:06:18 IST 2025","","test_products","",""
"","225","test_delete_cart","tests.ip","Thu Mar 06 14:21:31 IST 2025","passed","Thu Mar 06 14:21:31 IST 2025","","test_carts","",""
"","2301","test_search_input_exists","tests","Thu Mar 06 12:40:53 IST 2025","passed","Thu Mar 06 12:40:55 IST 2025","","test_login","",""
"","1888","test_settings_icon_exists","tests","Thu Mar 06 12:41:04 IST 2025","passed","Thu Mar 06 12:41:06 IST 2025","","test_login","",""
"","1493","test_new_note_button_exists","tests.ui","Thu Mar 06 16:06:38 IST 2025","passed","Thu Mar 06 16:06:39 IST 2025","","test_login","",""
"","1226","test_main_content_is_visible","tests.ui","Thu Mar 06 16:06:44 IST 2025","passed","Thu Mar 06 16:06:46 IST 2025","","test_login","",""
"","1950","test_refresh_button","tests","Thu Mar 06 12:41:08 IST 2025","passed","Thu Mar 06 12:41:10 IST 2025","","test_login","",""
"","143","test_update_product","tests.api","Thu Mar 06 16:06:18 IST 2025","passed","Thu Mar 06 16:06:18 IST 2025","","test_products","",""
"","1463","test_search_input_exists","tests.ui","Thu Mar 06 16:06:41 IST 2025","passed","Thu Mar 06 16:06:42 IST 2025","","test_login","",""
"","126","test_update_user","tests.ip","Thu Mar 06 14:21:33 IST 2025","passed","Thu Mar 06 14:21:33 IST 2025","","test_users","",""
"","223","test_get_single_user","tests.api","Thu Mar 06 16:06:19 IST 2025","passed","Thu Mar 06 16:06:19 IST 2025","","test_users","",""
"","4636","test_open_app","tests","Thu Mar 06 12:40:24 IST 2025","passed","Thu Mar 06 12:40:29 IST 2025","","test_login","",""
"","216","test_get_all_users","tests.api","Thu Mar 06 16:06:18 IST 2025","passed","Thu Mar 06 16:06:19 IST 2025","","test_users","",""
"","1243","test_notes_button_exists","tests.ui","Thu Mar 06 16:06:31 IST 2025","passed","Thu Mar 06 16:06:33 IST 2025","","test_login","",""
"","219","test_get_single_user","tests.ip","Thu Mar 06 14:21:32 IST 2025","passed","Thu Mar 06 14:21:33 IST 2025","","test_users","",""
"","222","test_get_users_with_limit","tests.api","Thu Mar 06 16:06:19 IST 2025","passed","Thu Mar 06 16:06:19 IST 2025","","test_users","",""
"","269","test_failed_login","tests.ip","Thu Mar 06 14:21:30 IST 2025","passed","Thu Mar 06 14:21:31 IST 2025","","test_auth","",""
"","2563","test_scratchpad_button_exists","tests","Thu Mar 06 12:40:45 IST 2025","passed","Thu Mar 06 12:40:47 IST 2025","","test_login","",""
"","4532","test_main_content_is_visible","tests","Thu Mar 06 12:40:57 IST 2025","passed","Thu Mar 06 12:41:02 IST 2025","","test_login","",""
"","0","test_successful_login","tests.api","Thu Mar 06 16:06:17 IST 2025","passed","Thu Mar 06 16:06:17 IST 2025","","test_auth","",""
"","117","test_create_cart","tests.api","Thu Mar 06 16:06:17 IST 2025","passed","Thu Mar 06 16:06:17 IST 2025","","test_carts","",""
"","311","test_create_user","tests.ip","Thu Mar 06 14:15:50 IST 2025","broken","Thu Mar 06 14:15:50 IST 2025","","test_users","",""
"","219","test_get_all_carts","tests.api","Thu Mar 06 16:06:17 IST 2025","passed","Thu Mar 06 16:06:17 IST 2025","","test_carts","",""
"","172","test_create_product","tests.ip","Thu Mar 06 14:21:32 IST 2025","passed","Thu Mar 06 14:21:32 IST 2025","","test_products","",""
"","127","test_update_cart","tests.ip","Thu Mar 06 14:21:31 IST 2025","passed","Thu Mar 06 14:21:31 IST 2025","","test_carts","",""
"","1965","test_new_note_button_exists","tests","Thu Mar 06 12:40:49 IST 2025","passed","Thu Mar 06 12:40:51 IST 2025","","test_login","",""
"","119","test_update_product","tests.ip","Thu Mar 06 14:21:32 IST 2025","passed","Thu Mar 06 14:21:32 IST 2025","","test_products","",""
"","2528","test_trash_button_exists","tests","Thu Mar 06 12:40:31 IST 2025","passed","Thu Mar 06 12:40:33 IST 2025","","test_login","",""
"","407","test_login","tests.api","Thu Mar 06 15:18:06 IST 2025","passed","Thu Mar 06 15:18:07 IST 2025","","test_auth","",""
"","160","test_get_single_product","tests.ip","Thu Mar 06 14:21:32 IST 2025","passed","Thu Mar 06 14:21:32 IST 2025","","test_products","",""
"","1","test_successful_login","tests.ip","Thu Mar 06 14:21:30 IST 2025","passed","Thu Mar 06 14:21:30 IST 2025","","test_auth","",""
"","159","test_get_all_products","tests.ip","Thu Mar 06 14:21:31 IST 2025","passed","Thu Mar 06 14:21:32 IST 2025","","test_products","",""
"","196","test_delete_product","tests.api","Thu Mar 06 16:06:18 IST 2025","passed","Thu Mar 06 16:06:18 IST 2025","","test_products","",""
"","171","test_update_user","tests.api","Thu Mar 06 16:06:19 IST 2025","passed","Thu Mar 06 16:06:19 IST 2025","","test_users","",""
"","315","test_create_user_invalid_email","tests.api","Thu Mar 06 15:39:42 IST 2025","failed","Thu Mar 06 15:39:42 IST 2025","","test_users","",""
